country_name,bbva_proba
Mauritius,0.396987064005
Estonia,0.243002334384
Latvia,0.187854748692
Bahrain,0.0209215303424
Tunisia,0.0208008958165
Jordan,0.0197466363775
Lithuania,0.0112176275634
Bulgaria,0.0106327762635
Oman,0.0105463819459
Sri Lanka,0.00709265440298
Ukraine,0.00677409132673
Sudan,0.00502077476278
Hungary,0.00501728481322
Kuwait,0.00369635159385
Romania,0.00319685972825
Venezuela,0.00308511781883
Czech Republic,0.00305794133327
Slovakia,0.00304558423874
United Arab Emirates,0.00292399168358
Qatar,0.00277211923106
Iraq,0.00269992483118
Peru,0.00236756459175
Vietnam,0.00216497238548
Bangladesh,0.00209689249908
Chile,0.00206269237657
Colombia,0.00202618579973
Malaysia,0.00189162393145
Philippines,0.00189073447974
Egypt,0.00183287449631
Pakistan,0.00139930536614
Iran,0.00139449209412
Nigeria,0.00137888554136
Thailand,0.0012602048763
Poland,0.00118881544064
Argentina,0.00117359606925
Saudi Arabia,0.00115460690696
China,5.76933063458E-4
Russia,5.37432032807E-4
Turkey,5.29315017359E-4
Mexico,4.86599384881E-4
Indonesia,4.22790345469E-4
Brazil,3.54817853501E-4
India,3.43434156757E-4
Senegal,3.27376954581E-4
Lebanon,3.23339802469E-4
Uruguay,2.96612056177E-4
Kenya,1.48250273752E-4
Dominican Republic,1.24008717247E-4
Ecuador,8.31500698095E-5
Morocco,5.31655453099E-5
South Africa,1.66367162766E-5
