country_name,prefix,country_gdp,operator_name,operator_proba,country_proba,bbva_proba
Iraq,964,189.43,Ooredoo,1.0,0.00326456317791,0.00531171968215
Indonesia,62,1020.52,STC,0.190307328605,0.0175872460239,9.07985092509E-4
Uzbekistan,998,68.32,Veon,0.685878962536,0.00117740039231,
Iran,98,368.49,Hamrahe Aval,0.0825921219822,0.00635041379626,0.00246854089752
Croatia,385,50.08,Deutsche Telekom,1.0,8.63059303962E-4,
Tunisia,216,40.29,Ooredoo,0.418539325843,6.94342239549E-4,0.0523281942064
Algeria,213,173.95,Ooredoo,0.385012919897,0.00299778685951,
Tajikistan,992,7.24,Veon,0.755555555556,1.24771353049E-4,
Belarus,375,54.69,Telia Company,0.314465408805,9.42506256663E-4,
Vietnam,84,215.83,CK Hutchison,1.0,0.00371953054261,0.00494679851117
Egypt,20,364.33,Vodafone,0.585034013605,0.0062787219691,0.00319243252388
Central African Republic,236,1.99,Etisalat,0.434426229508,3.42948884761E-5,
Kenya,254,75.1,Airtel,0.703012912482,0.0012942442837,2.24739916019E-4
Germany,49,3423.29,Deutsche Telekom,0.17277486911,0.058995652649,
Myanmar,95,72.37,Telenor,0.535825545171,0.00124719652212,
China,86,364.33,China Unicom,0.196925329429,0.0062787219691,0.0015696874617
Peru,51,207.07,Telefónica,0.494584837545,0.00356856409887,0.00522436512849
Jersey,44,364.33,Airtel,1.0,0.0062787219691,
India,91,2454.46,Idea Cellular,0.118733509235,0.0422992120448,3.95385108807E-4
Bangladesh,880,248.85,Telenor,0.336594911937,0.00428858442075,0.00476144340097
Belarus,375,54.69,MTS,0.685534591195,9.42506256663E-4,
Afghanistan,93,20.57,Airtel,0.5561861521,3.54495405002E-4,
South Africa,27,317.57,STC,0.177117711771,0.00547287825797,3.00761999928E-5
Puerto Rico,1787,99.73,Sprint Corporation,0.0924764890282,0.00171870815464,
Brazil,55,2140.94,Vodafone,0.443680137575,0.0368961299166,7.17207365358E-4
Iran,98,368.49,MTN Group,0.294790343075,0.00635041379626,0.00246854089752
Tanzania,255,51.19,Airtel,0.75500770416,8.82188613614E-4,
Bulgaria,359,52.29,Telenor,1.0,9.01145587144E-4,0.0266953629938
Philippines,63,329.72,Globe Telecom,0.504,0.00568226664741,0.00375013085971
Denmark,45,304.22,CK Hutchison,0.372262773723,0.00524280953377,
Colombia,57,306.44,Telefónica,0.494584837545,0.00528106815308,0.00406399000508
Dominican Republic,1809,76.85,América Móvil,0.574948665298,0.00132440310522,1.09563267683E-4
Austria,43,383.51,CK Hutchison,0.18647166362,0.006609262653,
United States,1,19417.14,AT&T Mobility,0.395280235988,0.334627462726,
Guinea-Bissau,245,1.17,Orange,0.222820236814,2.01633263905E-5,
Uganda,256,27.17,Airtel,0.527448869752,4.68237246179E-4,
Sweden,46,507.05,CK Hutchison,0.372262773723,0.00873830311649,
Botswana,267,15.56,MTN Group,0.249730893434,2.68155007381E-4,
Zambia,260,23.14,MTN Group,0.321329639889,3.98785788612E-4,
Austria,43,383.51,América Móvil,0.511882998172,0.006609262653,
Rwanda,250,8.92,MTN Group,0.321329639889,1.53723821712E-4,
India,91,2454.46,Reliance,0.0404573438874,0.0422992120448,3.95385108807E-4
Gabon,241,14.21,Airtel,0.75500770416,2.44889630777E-4,
India,91,2454.46,Maxis,0.0448548812665,0.0422992120448,3.95385108807E-4
Philippines,63,329.72,PLDT,0.496,0.00568226664741,0.00375013085971
Albania,355,12.29,Deutsche Telekom,0.242290748899,2.11801095162E-4,
Indonesia,62,1020.52,Etisalat,0.187943262411,0.0175872460239,9.07985092509E-4
Dominican Republic,1809,76.85,Orange,0.425051334702,0.00132440310522,1.09563267683E-4
Vanuatu,678,0.83,Orange,1.0,1.43038982086E-5,
Sri Lanka,94,84.02,Etisalat,0.18661971831,0.00144796810541,0.0160515446031
Spain,34,1232.44,Vodafone,0.517552657974,0.0212393931425,
Iran,98,368.49,Airtel,0.622617534943,0.00635041379626,0.00246854089752
Egypt,20,364.33,Orange,0.234693877551,0.0062787219691,0.00319243252388
Guinea-Bissau,245,1.17,Airtel,0.527448869752,2.01633263905E-5,
Chile,56,251.22,América Móvil,0.505415162455,0.0043294280819,0.00456830891107
Nigeria,234,400.62,Etisalat,0.180476730988,0.00690412975945,0.00224982038586
Slovenia,386,43.5,América Móvil,1.0,7.49662135031E-4,
Norway,47,391.96,Telenor,1.0,0.00675488667694,
Guinea,224,6.94,MTN Group,0.249730893434,1.19601269359E-4,
United Kingdom,44,2496.76,CK Hutchison,0.114349775785,0.043028193845,
Benin,229,8.79,MTN Group,0.263337116913,1.51483452113E-4,
France,33,2420.44,Orange,1.0,0.0417129245543,
Central African Republic,236,1.99,Orange,0.565573770492,3.42948884761E-5,
Peru,51,207.07,América Móvil,0.505415162455,0.00356856409887,0.00522436512849
Nepal,977,23.32,Axiata,1.0,4.01887838826E-4,
United Kingdom,44,2496.76,Telefónica,0.307174887892,0.043028193845,
Ivory Coast,225,364.33,Etisalat,0.434426229508,0.0062787219691,
Ukraine,380,95.93,MTS,0.119386637459,0.0016532204279,0.014803859982
Azerbaijan,994,38.58,Telia Company,1.0,6.64872762517E-4,
South Africa,27,317.57,MTN Group,0.255225522552,0.00547287825797,3.00761999928E-5
Pakistan,92,364.33,Telenor,0.119777158774,0.0062787219691,0.00284766924353
Maldives,960,3.58,Ooredoo,1.0,6.16963320324E-5,
Ecuador,593,97.36,Telefónica,0.494584837545,0.00167786449349,8.3448339656E-5
Niger,227,7.67,Orange,0.241822429907,1.32181806338E-4,
Montenegro,382,4.19,Telenor,0.510385756677,7.22088355352E-5,
Spain,34,1232.44,Orange,0.207622868606,0.0212393931425,
India,91,2454.46,MTS,0.0479331574318,0.0422992120448,3.95385108807E-4
Uganda,256,27.17,MTN Group,0.249730893434,4.68237246179E-4,
Ghana,233,42.75,MTN Group,0.187399030695,7.36736925806E-4,
Chile,56,251.22,Telefónica,0.494584837545,0.0043294280819,0.00456830891107
Thailand,66,432.9,China Mobile,0.802777777778,0.00746043076448,0.00218860194646
Republic of the Congo,242,364.33,Airtel,0.678670360111,0.0062787219691,
Mali,223,14.34,Orange,1.0,2.47130000376E-4,
Cameroon,237,29.55,MTN Group,0.249730893434,5.09253243452E-4,
Guatemala,502,70.94,América Móvil,0.505415162455,0.00122255245653,
Indonesia,62,1020.52,Ooredoo,0.176122931442,0.0175872460239,9.07985092509E-4
Mexico,52,987.3,AT&T Mobility,0.19476744186,0.0170147454234,0.0010283842473
Rwanda,250,8.92,Airtel,0.678670360111,1.53723821712E-4,
Costa Rica,506,59.8,América Móvil,0.505415162455,0.00103057001551,
United States,1,19417.14,Sprint Corporation,0.174041297935,0.334627462726,
Pakistan,92,364.33,Etisalat,0.110724233983,0.0062787219691,0.00284766924353
Tanzania,255,51.19,Etisalat,0.24499229584,8.82188613614E-4,
