country_name, payout, prefix, iprn_proba, iprn_id
Niger,0.29,227,0.391891891892,1
Gambia,0.23,220,0.209090909091,2
Norfolk Island,0.23,672,1,3
Togo,0.22,228,0.335877862595,4
Madagascar,0.22,261,0.243093922652,5
Tuvalu,0.22,688,0.536585365854,6
São Tomé and Príncipe,0.22,239,0.536585365854,7
Cuba,0.22,53,0.222222222222,8
Gambia,0.215,220,0.195454545455,9
Solomon Islands,0.21,677,0.538461538462,10
Maldives,0.21,960,0.175,11
São Tomé and Príncipe,0.19,239,0.463414634146,12
Tuvalu,0.19,688,0.463414634146,13
Seychelles,0.19,248,0.542857142857,14
Niue,0.19,683,0.542857142857,15
Cuba,0.19,53,0.191919191919,16
Maldives,0.19,960,0.158333333333,17
Togo,0.185,228,0.282442748092,18
Madagascar,0.18,261,0.198895027624,19
Maldives,0.18,960,0.15,20
Angola,0.18,244,0.529411764706,21
Solomon Islands,0.18,677,0.461538461538,22
Kiribati,0.17,686,0.27868852459,23
Chile,0.17,56,0.515151515152,24
Anguilla,0.17,1264,0.395348837209,25
Cuba,0.17,53,0.171717171717,26
Gambia,0.17,220,0.154545454545,27
Somalia,0.17,252,0.182795698925,28
Falkland Islands,0.17,500,0.2125,29
Poland,0.17,48,0.293103448276,30
Maldives,0.16,960,0.133333333333,31
Central African Republic,0.16,236,0.355555555556,32
Seychelles,0.16,248,0.457142857143,33
Niue,0.16,683,0.457142857143,34
Chile,0.16,56,0.484848484848,35
Kiribati,0.16,686,0.262295081967,36
Angola,0.16,244,0.470588235294,37
Falkland Islands,0.16,500,0.2,38
Somalia,0.16,252,0.172043010753,39
Somalia,0.16,252,0.172043010753,40
Poland,0.15,48,0.258620689655,41
Guinea-Bissau,0.15,245,0.189873417722,42
Falkland Islands,0.15,500,0.1875,43
Maldives,0.15,960,0.125,44
Cuba,0.15,53,0.151515151515,45
Anguilla,0.15,1264,0.348837209302,46
Mauritania,0.145,222,0.154255319149,47
Latvia,0.14,371,0.538461538462,48
Slovakia,0.14,421,0.528301886792,49
Niger,0.14,227,0.189189189189,50
Maldives,0.14,960,0.116666666667,51
Falkland Islands,0.14,500,0.175,52
Somalia,0.14,252,0.150537634409,53
Togo,0.14,228,0.213740458015,54
Kiribati,0.14,686,0.229508196721,55
Guinea-Bissau,0.14,245,0.177215189873,56
Gambia,0.14,220,0.127272727273,57
