country_name,prefix,country_gdp,operator_name,mno_subscribers_millions,operator_proba
Iraq,964,189.43,Ooredoo,149,1.0
Guinea-Bissau,245,1.17,Orange,207,0.222820236814
Azerbaijan,994,38.58,Telia Company,50,1.0
Sweden,46,507.05,Telenor,172,0.627737226277
Georgia,995,13.72,Telia Company,50,0.173611111111
Malawi,265,6.18,Airtel,490,1.0
Vatican City,3906698,364.33,TIM,93,1.0
Hungary,36,125.3,Vodafone,516,0.604923798359
Indonesia,62,1020.52,STC,161,0.190307328605
Uganda,256,27.17,Airtel,490,0.527448869752
South Africa,27,317.57,MTN Group,232,0.255225522552
Ireland,353,294.19,Vodafone,516,0.834951456311
Sri Lanka,94,84.02,CK Hutchison,102,0.119718309859
Belgium,32,462.72,Orange,207,1.0
Qatar,974,173.65,Vodafone,516,0.775939849624
Sudan,249,115.87,Etisalat,159,0.239097744361
Uzbekistan,998,68.32,Veon,238,0.685878962536
Sweden,46,507.05,CK Hutchison,102,0.372262773723
Pakistan,92,364.33,Telenor,172,0.119777158774
Togo,228,4.55,Etisalat,159,1.0
Indonesia,62,1020.52,CK Hutchison,102,0.120567375887
Georgia,995,13.72,Veon,238,0.826388888889
Panama,507,59.49,América Móvil,280,0.505415162455
Costa Rica,506,59.8,Telefónica,274,0.494584837545
Iran,98,368.49,Hamrahe Aval,65,0.0825921219822
Botswana,267,15.56,MTN Group,232,0.249730893434
Maldives,960,3.58,Ooredoo,149,1.0
Russia,7,364.33,Veon,238,0.561320754717
Sierra Leone,232,4.09,Airtel,490,1.0
Afghanistan,93,20.57,MTN Group,232,0.263337116913
Liberia,231,2.22,Airtel,490,0.678670360111
Burkina Faso,226,12.26,Airtel,490,1.0
Croatia,385,50.08,Deutsche Telekom,165,1.0
Zambia,260,23.14,MTN Group,232,0.321329639889
Ecuador,593,97.36,Telefónica,274,0.494584837545
Luxembourg,352,60.0,Orange,207,1.0
United States,1,19417.14,Verizon Wireless,146,0.430678466077
Lebanon,961,53.92,STC,161,1.0
Ecuador,593,97.36,América Móvil,280,0.505415162455
Russia,7,364.33,MTS,109,0.257075471698
Tunisia,216,40.29,Ooredoo,149,0.418539325843
Austria,43,383.51,América Móvil,280,0.511882998172
Niger,227,7.67,Orange,207,0.241822429907
Australia,61,1359.72,Vodafone,516,0.834951456311
Botswana,267,15.56,Orange,207,0.222820236814
Paraguay,595,28.74,América Móvil,280,1.0
Afghanistan,93,20.57,Etisalat,159,0.180476730988
Cambodia,855,20.95,Axiata,101,1.0
Algeria,213,173.95,Ooredoo,149,0.385012919897
Rwanda,250,8.92,MTN Group,232,0.321329639889
Montenegro,382,4.19,Telenor,172,0.510385756677
Ukraine,380,95.93,Veon,238,0.260679079956
Ghana,233,42.75,Airtel,490,0.395799676898
Thailand,66,432.9,AIS,41,0.037962962963
Germany,49,3423.29,Telefónica,274,0.286910994764
Bahrain,973,34.31,STC,161,1.0
Tajikistan,992,7.24,Veon,238,0.755555555556
India,91,2454.46,Reliance,92,0.0404573438874
Spain,34,1232.44,Orange,207,0.207622868606
Moldova,373,7.41,Telia Company,50,0.194552529183
Argentina,54,628.94,Telefónica,274,0.494584837545
Senegal,221,15.43,Orange,207,1.0
China,86,364.33,China Telecom,230,0.168374816984
Montenegro,382,4.19,Deutsche Telekom,165,0.489614243323
Belarus,375,54.69,Telia Company,50,0.314465408805
Gabon,241,14.21,Airtel,490,0.75500770416
India,91,2454.46,MTS,109,0.0479331574318
India,91,2454.46,Vodafone,516,0.22691292876
India,91,2454.46,Tata DoCoMo,53,0.0233069481091
Greece,30,193.1,Deutsche Telekom,165,0.242290748899
Serbia,381,37.74,Telenor,172,1.0
Italy,39,1807.43,Vodafone,516,0.421913327882
Vietnam,84,215.83,CK Hutchison,102,1.0
India,91,2454.46,Maxis,102,0.0448548812665
Uganda,256,27.17,MTN Group,232,0.249730893434
Cameroon,237,29.55,Orange,207,0.222820236814
Egypt,20,364.33,Etisalat,159,0.180272108844
Puerto Rico,1787,99.73,AT&T Mobility,134,0.210031347962
Italy,39,1807.43,TIM,93,0.0760425183974
Sri Lanka,94,84.02,Axiata,101,0.118544600939
Egypt,20,364.33,Vodafone,516,0.585034013605
Philippines,63,329.72,PLDT,62,0.496
Ghana,233,42.75,MTN Group,232,0.187399030695
Uruguay,598,58.12,Telefónica,274,0.494584837545
Madagascar,261,10.37,Airtel,490,0.703012912482
Equatorial Guinea,240,11.69,Orange,207,1.0
Uruguay,598,58.12,América Móvil,280,0.505415162455
Poland,48,482.92,Deutsche Telekom,165,0.443548387097
Central African Republic,236,1.99,Etisalat,159,0.434426229508
Albania,355,12.29,Deutsche Telekom,165,0.242290748899
Chile,56,251.22,Telefónica,274,0.494584837545
El Salvador,503,27.55,Telefónica,274,0.494584837545
Kyrgyzstan,996,364.33,Veon,238,1.0
Guatemala,502,70.94,Telefónica,274,0.494584837545
Liberia,231,2.22,MTN Group,232,0.321329639889
Kuwait,965,126.97,Ooredoo,149,0.48064516129
Kenya,254,75.1,Airtel,490,0.703012912482
Indonesia,62,1020.52,Etisalat,159,0.187943262411
Thailand,66,432.9,China Mobile,867,0.802777777778
Brazil,55,2140.94,TIM,93,0.0799656061909
Sudan,249,115.87,MTN Group,232,0.348872180451
Kuwait,965,126.97,STC,161,0.51935483871
Republic of the Congo,242,364.33,MTN Group,232,0.321329639889
Syria,963,364.33,MTN Group,232,1.0
Germany,49,3423.29,Deutsche Telekom,165,0.17277486911
Dominican Republic,1809,76.85,Orange,207,0.425051334702
Republic of the Congo,242,364.33,Airtel,490,0.678670360111
Albania,355,12.29,Vodafone,516,0.757709251101
Mexico,52,987.3,América Móvil,280,0.406976744186
Myanmar,95,72.37,Ooredoo,149,0.464174454829
Benin,229,8.79,Airtel,490,0.5561861521
Saudi Arabia,966,707.38,STC,161,0.503125
Myanmar,95,72.37,Telenor,172,0.535825545171
Vanuatu,678,0.83,Orange,207,1.0
Mali,223,14.34,Orange,207,1.0
India,91,2454.46,Airtel,490,0.215479331574
New Zealand,64,198.04,Vodafone,516,1.0
Venezuela,58,251.59,Telefónica,274,1.0
Austria,43,383.51,Deutsche Telekom,165,0.301645338208
Indonesia,62,1020.52,Axiata,101,0.11938534279
China,86,364.33,China Unicom,269,0.196925329429
Sri Lanka,94,84.02,Etisalat,159,0.18661971831
Cameroon,237,29.55,MTN Group,232,0.249730893434
Benin,229,8.79,Etisalat,159,0.180476730988
Turkmenistan,993,42.36,MTS,109,1.0
India,91,2454.46,Jio,202,0.0888302550572
Uganda,256,27.17,Orange,207,0.222820236814
China,86,364.33,China Mobile,867,0.634699853587
Peru,51,207.07,Telefónica,274,0.494584837545
Spain,34,1232.44,Vodafone,516,0.517552657974
Guatemala,502,70.94,América Móvil,280,0.505415162455
Russia,7,364.33,MegaFon,77,0.181603773585
Australia,61,1359.72,CK Hutchison,102,0.165048543689
Saudi Arabia,966,707.38,Etisalat,159,0.496875
Madagascar,261,10.37,Orange,207,0.296987087518
Ukraine,380,95.93,Telia Company,50,0.0547645125958
Jersey,44,364.33,Airtel,490,1.0
Iran,98,368.49,Airtel,490,0.622617534943
Indonesia,62,1020.52,Ooredoo,149,0.176122931442
Mexico,52,987.3,Telefónica,274,0.398255813953
Ghana,233,42.75,Vodafone,516,0.416801292407
Seychelles,248,1.48,Airtel,490,1.0
Italy,39,1807.43,Telefónica,274,0.224039247751
Sri Lanka,94,84.02,Airtel,490,0.575117370892
India,91,2454.46,Idea Cellular,270,0.118733509235
Egypt,20,364.33,Orange,207,0.234693877551
Mexico,52,987.3,AT&T Mobility,134,0.19476744186
Honduras,504,21.79,América Móvil,280,1.0
Denmark,45,304.22,Telenor,172,0.627737226277
Macedonia,389,364.33,Deutsche Telekom,165,1.0
Puerto Rico,1787,99.73,Deutsche Telekom,165,0.258620689655
Nicaragua,505,13.75,Telefónica,274,0.494584837545
Bangladesh,880,248.85,Telenor,172,0.336594911937
Guinea-Bissau,245,1.17,Airtel,490,0.527448869752
Rwanda,250,8.92,Airtel,490,0.678670360111
